Id;X;Y;Demand
1;550;574;35,5
2;177;24;110,2
3;448;476;69,5
4;934;619;53,7
5;323;122;88,8
6;430;76;107,0
7;364;9;150,8
8;988;994;134,5
9;91;636;87,4
10;926;977;61,1
11;2;579;136,4
12;326;342;86,7
13;455;822;48,7
14;48;74;170,8
15;814;334;120,8
16;997;22;125,8
17;838;899;172,6
18;634;360;46,0
19;324;191;74,6
20;750;283;179,7
21;996;106;92,8
22;473;967;131,6
23;642;334;72,8
24;539;764;104,5
25;510;194;66,9
26;807;664;65,7
27;949;710;41,6
28;21;994;37,8
29;293;934;82,9
30;832;366;174,7
31;8;531;107,8
32;56;893;88,7
33;82;605;177,0
34;197;626;154,3
35;661;777;103,5
36;207;272;145,5
37;945;510;143,4
38;505;137;57,7
39;325;693;63,3
40;240;335;90,5
41;776;462;82,4
42;810;235;102,3
43;496;288;149,8
44;624;171;151,0
45;799;293;67,6
46;120;393;145,8
47;250;839;68,7
48;31;266;152,6
49;64;349;46,9
50;898;729;149,5
51;740;387;138,5
52;838;992;59,1
53;952;991;171,0
54;558;497;144,9
55;695;240;103,9
56;622;113;133,8
57;670;95;177,0
58;967;595;73,8
59;926;470;60,0
60;665;284;110,1
61;753;558;46,2
62;946;61;41,9
63;820;415;123,9
64;453;551;115,3
65;565;786;94,2
66;768;573;138,6
67;841;180;81,4
68;172;849;66,3
69;799;203;84,8
70;663;950;37,6
71;33;134;163,6
72;215;505;114,2
73;973;751;114,0
74;308;651;70,9
75;519;412;144,3
76;677;737;65,7
77;937;383;111,8
78;338;276;105,2
79;997;416;119,9
80;852;151;126,3
81;366;573;92,0
82;839;66;165,4
83;245;311;169,0
84;743;248;163,5
85;265;806;151,8
86;851;403;126,8
87;621;530;97,5
88;553;917;99,1
89;467;83;68,7
90;866;308;100,0
91;556;270;151,9
92;189;936;121,3
93;131;426;115,1
94;329;945;50,1
95;64;997;71,2
96;761;475;97,2
97;248;366;133,4
98;141;114;49,0
99;235;937;114,1
100;80;598;99,9
101;133;453;150,3
102;153;763;44,4
103;739;585;155,7
104;165;754;98,6
105;933;751;149,3
106;670;474;68,5
107;319;201;67,2
108;734;286;36,8
109;118;342;131,2
110;951;973;146,0
111;303;313;50,8
112;709;929;135,3
113;993;822;156,2
114;707;624;101,7
115;92;212;109,9
116;716;302;62,6
117;184;802;111,6
118;601;936;133,4
119;668;454;162,0
120;583;424;55,2
121;151;409;128,1
122;754;53;113,5
123;89;361;80,2
124;843;196;88,2
125;679;788;38,2
126;233;266;170,8
127;994;524;157,1
128;229;917;79,9
129;381;596;39,5
130;566;501;58,4
131;96;294;43,3
132;180;770;115,0
133;199;508;79,5
134;226;827;142,7
135;691;293;77,4
136;338;332;74,1
137;905;714;44,7
138;146;954;119,5
139;148;907;72,2
140;46;71;107,0
141;594;419;159,3
142;209;732;90,7
143;419;783;83,7
144;852;847;107,8
145;194;344;143,3
146;751;651;121,0
147;530;340;92,7
148;6;405;83,6
149;961;227;75,3
150;60;343;165,3
151;87;261;66,8
152;962;886;121,9
153;974;321;69,1
154;882;81;88,5
155;777;993;132,2
156;877;318;134,7
157;645;892;100,8
158;909;276;46,2
159;859;247;75,4
160;109;124;154,3
161;214;725;59,1
162;292;982;129,1
163;674;506;42,8
164;724;614;44,5
165;247;618;104,1
166;133;392;92,4
167;140;512;106,5
168;986;490;42,6
169;139;888;56,3
170;988;341;164,1
171;255;776;46,6
172;864;343;135,2
173;614;864;127,8
174;363;805;141,9
175;594;73;50,1
176;531;156;49,8
177;221;392;167,9
178;221;398;178,5
179;809;947;65,4
180;864;805;56,1
181;843;335;89,1
182;477;878;133,3
183;129;202;106,9
184;940;551;77,9
185;183;69;84,8
186;498;641;142,8
187;867;413;77,1
188;540;551;142,2
189;281;990;135,2
190;604;224;153,3
191;907;417;38,2
192;650;349;129,8
193;998;2;40,5
194;570;808;56,2
195;216;820;170,0
196;959;382;129,9
197;527;34;35,7
198;123;708;159,6
199;337;488;70,9
200;355;476;92,5
201;887;524;129,4
202;443;886;56,0
203;892;60;68,6
204;436;349;170,0
205;427;927;129,4
206;663;441;174,3
207;78;435;81,9
208;997;108;148,4
209;324;213;61,6
210;369;115;69,5
211;177;280;166,2
212;539;753;103,2
213;81;372;172,2
214;102;788;85,3
215;43;527;178,1
216;765;671;115,1
217;31;906;54,4
218;854;983;119,5
219;610;874;177,5
220;83;143;35,0
221;835;330;57,3
222;570;361;135,2
223;390;283;63,5
224;102;840;124,3
225;982;681;48,8
226;650;227;116,1
227;975;485;103,9
228;135;322;142,7
229;287;6;48,5
230;446;24;138,2
231;530;474;73,1
232;700;542;101,5
233;397;872;42,4
234;763;838;151,6
235;305;9;42,8
236;12;340;162,8
237;285;858;94,5
238;358;892;54,7
239;123;118;79,5
240;498;952;111,1
241;752;59;51,2
242;444;51;67,3
243;888;591;93,2
244;281;498;64,4
245;927;591;134,2
246;185;324;59,1
247;79;486;69,3
248;690;495;131,3
249;767;78;147,1
250;199;357;130,9
251;257;625;83,5
252;757;346;94,5
253;559;164;63,8
254;56;937;155,1
255;559;96;143,4
256;716;848;129,4
257;415;7;107,0
258;782;493;119,0
259;198;754;91,2
260;506;686;58,2
261;780;784;82,6
262;351;593;119,8
263;972;719;157,6
264;267;937;62,7
265;921;181;139,8
266;196;447;129,0
267;748;875;157,5
268;845;567;81,2
269;437;907;91,7
270;699;405;128,2
271;978;373;86,0
272;286;936;141,5
273;755;180;135,5
274;696;458;139,7
275;188;130;49,3
276;341;291;116,5
277;628;240;114,0
278;977;737;46,6
279;487;328;142,1
280;963;272;45,4
281;640;838;56,0
282;784;13;108,9
283;57;916;119,7
284;810;409;154,8
285;701;741;90,5
286;314;201;94,5
287;661;104;146,0
288;740;622;114,8
289;550;234;38,6
