Id;X;Y;Demand
1;221;348;44,8
2;117;545;96,7
3;493;645;84,1
4;135;12;92,9
5;775;997;174,4
6;745;444;194,5
7;950;311;114,3
8;530;150;198,3
9;900;508;98,4
10;48;519;41,1
11;269;217;133,9
12;722;349;57,4
13;480;733;70,2
14;977;422;40,7
15;999;220;199,0
16;636;332;176,9
17;851;162;135,7
18;559;567;191,9
19;389;69;63,7
20;529;835;98,0
21;303;427;130,8
22;400;638;176,4
23;894;904;202,9
24;482;109;74,7
25;579;800;167,6
26;184;82;149,6
27;669;753;180,4
28;906;424;165,4
29;374;692;164,2
30;174;613;168,1
31;75;37;171,5
32;38;563;59,9
33;838;157;109,5
34;710;709;143,1
35;176;67;108,5
36;449;326;79,6
37;71;389;150,6
38;710;115;92,7
39;237;547;187,3
40;530;27;156,0
41;631;223;80,8
42;171;342;96,5
43;226;65;107,2
44;6;998;51,2
45;24;635;187,9
46;668;165;94,6
47;318;608;168,7
48;429;82;149,8
49;212;237;125,2
50;853;126;61,5
51;387;47;52,7
52;677;144;161,2
53;111;790;57,3
54;957;32;95,7
55;511;647;67,3
56;457;561;147,3
57;86;687;60,6
58;290;456;140,2
59;473;563;51,6
60;807;725;48,9
61;461;468;103,6
62;739;235;83,1
63;257;340;82,7
64;588;545;122,0
65;6;311;51,6
66;268;976;59,9
67;552;414;54,0
68;994;946;179,7
69;452;534;91,2
70;422;545;80,4
71;248;611;179,0
72;43;366;190,0
73;977;96;91,5
74;822;580;68,1
75;940;650;177,7
76;86;263;132,6
77;715;99;46,8
78;668;981;99,6
79;424;638;173,0
80;297;607;198,7
81;251;282;69,8
82;237;413;142,7
83;202;573;184,0
84;181;385;106,6
85;126;528;196,9
86;386;811;136,6
87;978;846;72,4
88;70;99;122,6
89;333;357;46,2
90;49;870;109,7
91;157;734;49,5
92;627;268;101,2
93;818;433;54,0
94;738;555;191,6
95;350;909;142,0
96;337;926;144,2
97;978;59;43,8
98;42;595;141,0
99;870;933;140,4
100;19;120;188,8
101;165;679;156,5
102;131;984;101,8
103;232;755;127,4
104;319;417;135,0
105;187;376;142,9
106;251;482;78,1
107;657;219;154,7
108;209;397;202,3
109;800;377;142,4
110;228;116;48,2
111;566;559;83,8
112;490;156;95,8
113;216;547;101,2
114;964;677;180,2
115;85;897;134,6
116;292;807;81,3
117;600;893;73,4
118;938;222;45,0
119;543;747;149,8
120;572;976;95,8
121;569;59;86,8
122;712;574;106,1
123;971;515;113,6
124;616;306;169,4
125;695;837;177,3
126;421;821;84,0
127;604;995;89,1
128;537;957;146,8
129;1000;653;147,7
130;282;817;54,9
131;380;874;147,4
132;778;101;81,9
133;462;74;48,9
134;87;682;148,6
135;441;228;134,8
136;608;430;43,2
137;511;313;71,0
138;710;300;97,1
139;630;24;190,7
140;626;650;130,2
141;531;719;80,6
142;598;824;142,8
143;995;622;93,9
144;258;981;184,7
145;358;281;84,5
146;279;169;156,1
147;286;268;163,3
148;259;659;130,2
149;782;132;84,9
150;862;518;182,7
151;457;603;180,9
152;210;438;85,9
153;44;44;175,3
154;527;818;95,5
155;164;156;132,6
156;23;86;180,2
157;342;930;59,3
158;39;282;99,5
159;269;848;160,3
160;436;886;111,1
161;323;340;154,4
162;237;891;195,6
163;333;488;114,3
164;517;137;85,2
165;591;972;85,6
166;541;888;81,4
167;122;280;155,8
168;159;655;94,3
169;200;158;63,4
170;446;283;104,9
171;107;315;120,1
172;588;270;156,8
173;158;374;64,1
174;26;353;201,0
175;959;76;201,5
176;852;328;122,6
177;927;736;56,9
178;437;138;96,0
179;53;938;199,8
180;333;192;143,6
181;922;499;143,5
182;407;948;102,4
183;970;664;54,1
184;237;738;121,6
185;8;561;152,8
186;747;852;119,8
187;989;908;68,6
188;100;860;130,7
189;10;960;169,8
190;842;190;79,0
191;595;716;136,7
192;286;965;82,4
193;199;373;134,7
194;159;67;129,6
195;979;25;169,4
196;488;479;167,9
197;804;620;133,5
198;742;853;115,1
199;528;160;77,2
200;223;342;63,4
201;503;159;62,9
202;711;681;190,4
203;339;340;101,1
204;342;509;195,1
205;931;593;115,5
206;766;953;100,9
207;710;172;73,1
208;521;451;62,8
209;172;159;115,1
210;685;836;201,2
211;639;155;41,9
212;763;656;90,0
213;269;241;103,6
214;825;761;93,9
215;330;177;108,9
216;901;124;107,7
217;713;860;143,7
218;619;926;127,5
219;692;19;134,5
220;96;876;154,9
221;949;178;103,6
222;79;795;133,2
223;833;852;44,4
224;336;444;79,1
225;877;0;53,7
226;296;597;98,4
227;566;735;79,7
228;940;377;133,6
229;349;269;45,9
230;939;827;78,1
231;908;120;134,9
232;50;741;87,3
233;670;569;128,6
234;753;744;69,9
235;577;351;118,2
236;141;616;46,2
237;97;625;77,3
238;64;875;197,0
239;496;160;121,3
240;515;598;52,7
241;344;803;171,6
242;274;510;94,9
243;291;170;91,8
244;800;300;150,2
245;74;609;163,8
246;365;207;127,4
247;791;396;78,3
248;453;848;139,4
249;405;191;50,7
250;395;290;140,7
251;525;743;55,5
252;260;385;176,9
253;408;837;173,3
254;1;346;164,7
255;231;504;150,7
256;837;572;169,3
257;606;473;124,2
258;900;729;59,3
259;346;868;114,2
260;123;80;53,1
261;477;169;123,6
262;383;59;71,9
263;510;410;167,5
264;890;101;47,9
265;952;635;82,4
266;825;722;155,5
267;68;598;201,5
268;234;841;114,3
269;911;720;129,4
270;172;367;51,9
271;569;289;51,3
272;84;19;157,1
273;694;916;197,2
274;454;412;52,1
275;261;233;90,6
276;693;375;93,4
277;588;854;84,0
278;276;538;96,6
279;599;569;148,8
280;142;158;116,1
281;338;805;125,9
282;324;194;173,4
283;739;325;42,4
284;845;639;105,0
285;638;182;167,6
286;858;93;179,8
287;40;923;138,2
288;37;599;110,1
289;638;39;151,9
290;218;714;91,8
291;568;674;169,2
292;288;840;201,0
293;439;570;202,3
294;325;801;97,6
295;587;278;152,9
296;992;674;158,7
297;597;608;92,6
