Id;X;Y;Demand
1;978;828;174,8
2;427;367;127,0
3;777;543;150,8
4;190;596;56,3
5;773;750;177,5
6;234;727;62,5
7;851;358;101,3
8;140;69;107,0
9;891;285;146,2
10;467;13;163,7
11;537;162;121,9
12;636;355;85,2
13;213;284;107,0
14;75;877;49,3
15;384;814;71,3
16;606;173;178,7
17;76;236;171,5
18;86;733;81,6
19;642;61;181,6
20;303;261;113,3
21;771;775;140,7
22;107;264;124,7
23;763;43;76,1
24;811;873;157,3
25;38;170;48,2
26;822;920;59,0
27;907;792;141,4
28;539;273;118,1
29;576;836;182,2
30;491;411;41,1
31;430;725;118,9
32;727;248;84,3
33;532;825;118,9
34;457;218;105,7
35;398;153;107,8
36;942;597;163,0
37;8;330;49,5
38;637;85;128,0
39;75;781;153,9
40;578;635;74,2
41;560;188;59,0
42;27;523;57,7
43;432;198;103,5
44;359;691;114,1
45;695;372;142,8
46;203;307;59,7
47;641;389;172,3
48;836;612;40,9
49;375;499;63,2
50;818;980;105,9
51;577;226;157,6
52;889;259;88,8
53;516;324;80,0
54;102;346;81,1
55;318;976;98,0
56;223;11;88,1
57;484;245;149,0
58;365;982;78,8
59;648;790;58,3
60;878;261;103,2
61;600;800;126,1
62;493;722;65,0
63;549;214;94,3
64;714;918;155,0
65;638;166;69,0
66;452;172;119,3
67;711;687;160,8
68;924;905;99,0
69;326;662;175,3
70;786;203;171,8
71;24;32;100,9
72;529;661;111,8
73;843;248;106,3
74;115;449;179,5
75;82;971;142,7
76;876;644;49,8
77;322;24;123,9
78;642;810;176,4
79;685;607;50,2
80;141;824;133,9
81;351;732;60,2
82;641;954;175,9
83;330;941;89,2
84;830;188;109,1
85;469;250;146,5
86;970;812;171,4
87;723;360;126,1
88;274;238;150,6
89;668;103;42,5
90;562;82;151,0
91;269;147;50,4
92;135;493;118,5
93;895;953;54,4
94;930;729;127,8
95;579;972;101,9
96;901;987;102,0
97;546;102;80,7
98;664;479;157,6
99;967;393;158,5
100;388;767;159,1
101;977;995;38,0
102;933;329;137,1
103;947;364;185,6
104;242;400;150,8
105;991;716;137,0
106;983;38;182,4
107;738;728;78,1
108;436;466;138,2
109;346;490;68,3
110;639;634;172,4
111;765;715;40,2
112;772;60;52,4
113;254;183;110,5
114;804;906;83,1
115;150;451;102,6
116;378;297;82,1
117;881;802;170,8
118;959;912;119,6
119;225;450;151,8
120;213;802;36,6
121;842;994;155,4
122;662;474;151,4
123;20;116;73,1
124;562;217;169,5
125;709;544;40,6
126;50;682;76,4
127;771;244;181,2
128;538;704;87,6
129;506;883;65,3
130;341;389;37,1
131;414;522;52,0
132;583;435;161,6
133;210;579;71,4
134;326;715;64,1
135;92;24;125,0
136;969;100;112,7
137;252;841;37,8
138;879;544;102,0
139;648;720;170,8
140;291;405;79,0
141;14;19;50,2
142;446;28;170,6
143;130;966;49,0
144;978;572;110,7
145;333;105;170,1
146;558;84;153,3
147;288;10;78,4
148;783;837;152,6
149;1000;230;55,5
150;319;895;93,9
151;76;494;160,7
152;289;952;91,9
153;254;165;77,2
154;915;405;85,0
155;151;945;131,3
156;407;685;90,8
157;294;824;95,0
158;106;831;105,7
159;373;284;182,4
160;875;321;74,0
161;768;758;73,3
162;735;150;84,9
163;304;323;172,1
164;760;158;71,5
165;277;663;155,5
166;217;608;89,9
167;712;264;175,0
168;958;12;86,8
169;879;873;48,0
170;52;214;44,7
171;63;197;113,9
172;690;714;154,0
173;579;862;92,1
174;313;245;64,8
175;32;608;157,0
176;9;608;139,3
177;840;747;95,8
178;152;742;122,4
179;994;868;50,6
180;294;57;80,6
181;76;784;125,0
182;302;11;84,8
183;527;742;156,8
184;753;939;116,8
185;156;870;84,4
186;571;127;82,7
187;913;884;123,0
188;922;146;91,8
189;900;41;153,9
190;346;427;146,9
191;637;341;171,1
192;162;87;146,3
193;581;979;186,3
194;93;14;37,9
195;888;48;173,5
196;168;188;159,8
197;427;499;47,5
198;856;260;176,2
199;54;332;93,5
200;459;387;175,7
201;118;61;109,1
202;754;299;87,8
203;233;411;43,7
