Id;X;Y;Demand
1;407;102;65,9
2;915;965;37,6
3;797;45;48,7
4;997;241;102,6
5;650;683;75,5
6;748;248;98,3
7;99;174;149,5
8;2;545;90,4
9;277;689;74,2
10;568;771;57,3
11;76;105;41,0
12;117;973;51,8
13;171;971;88,5
14;327;183;90,9
15;277;697;103,0
16;269;246;42,0
17;670;18;142,8
18;51;901;154,7
19;951;696;72,1
20;710;102;109,0
21;61;465;142,6
22;348;606;68,6
23;551;243;127,8
24;524;793;115,0
25;89;582;33,4
26;900;748;117,3
27;235;368;47,3
28;122;587;39,0
29;449;781;152,0
30;970;38;95,3
31;362;490;71,6
32;742;267;125,2
33;289;115;153,1
34;898;957;118,1
35;996;922;150,8
36;951;633;36,1
37;713;779;116,5
38;603;247;58,8
39;402;363;126,7
40;143;0;71,5
41;274;608;33,7
42;81;422;74,7
43;550;408;64,9
44;43;699;97,8
45;482;575;106,4
46;909;254;92,5
47;613;37;67,4
48;202;575;109,9
49;297;297;39,1
50;736;288;98,1
51;464;127;143,6
52;499;491;124,0
53;635;531;71,9
54;796;328;72,4
55;184;941;118,2
56;641;824;32,5
57;863;673;92,5
58;396;950;103,7
59;555;631;77,6
60;664;966;166,4
61;301;260;114,9
62;425;990;59,5
63;559;746;114,8
64;431;827;56,5
65;724;472;98,9
66;847;51;156,9
67;888;721;62,8
68;136;331;104,0
69;859;627;151,3
70;206;5;167,2
71;429;381;52,4
72;798;918;142,2
73;886;684;105,9
74;123;488;162,7
75;779;445;156,6
76;764;43;53,7
77;938;743;112,6
78;800;398;43,9
79;734;20;105,8
80;211;678;163,7
81;601;545;80,1
82;512;403;148,8
83;796;106;141,0
84;644;810;91,3
85;416;973;160,8
86;115;435;128,4
87;667;91;73,9
88;395;941;92,9
89;374;546;152,2
90;546;191;90,7
91;754;255;74,1
92;124;588;130,6
93;423;929;40,1
94;314;637;95,8
95;668;268;92,6
96;321;786;140,9
97;960;423;59,5
98;11;499;161,3
99;721;692;151,0
100;803;584;167,6
101;337;475;39,7
102;806;773;77,8
103;429;478;46,9
104;214;547;103,2
105;361;166;157,5
106;944;218;164,4
107;12;468;157,6
108;527;255;94,1
109;789;724;98,1
110;250;862;83,0
111;892;896;146,5
