Id;X;Y;Demand
1;740;442;183,9
2;261;710;144,6
3;578;522;236,8
4;482;914;212,6
5;628;644;172,9
6;551;651;123,7
7;828;54;207,8
8;541;270;235,4
9;450;1000;88,8
10;521;127;61,4
11;738;809;173,5
12;323;289;51,1
13;803;214;248,8
14;556;488;67,7
15;758;937;159,4
16;875;326;114,3
17;113;509;139,4
18;491;726;165,9
19;415;355;63,2
20;946;632;139,1
21;136;120;178,9
22;117;971;198,6
23;817;246;112,8
24;491;845;107,9
25;454;801;195,3
26;676;995;129,1
27;145;557;110,1
28;166;494;61,2
29;977;318;90,0
30;363;711;145,3
31;164;501;79,8
32;833;501;118,4
33;444;958;204,1
34;828;672;244,4
35;714;57;91,5
36;51;676;166,4
37;922;16;63,5
38;673;571;62,1
39;211;471;140,6
40;590;220;246,4
41;305;311;221,8
42;953;745;94,8
43;154;753;96,2
44;918;227;113,4
45;819;671;70,3
46;675;667;71,8
47;617;176;61,7
48;706;179;117,3
49;512;443;122,7
50;302;453;172,5
51;753;786;149,4
52;331;450;132,4
53;765;990;155,6
54;249;360;235,6
55;292;887;91,0
56;371;804;169,9
57;786;186;83,7
58;382;284;58,4
59;44;552;127,3
60;107;895;115,6
61;108;928;124,5
62;523;264;71,6
63;397;120;237,6
64;25;769;245,4
65;98;623;69,4
66;946;978;205,6
67;815;696;65,5
68;314;361;161,3
69;447;695;212,3
70;878;243;230,0
71;341;648;142,9
72;363;0;246,1
73;675;83;216,5
74;998;520;190,3
75;98;111;77,0
76;267;902;170,9
77;628;746;131,1
78;940;409;128,4
79;786;488;74,3
80;323;674;86,4
81;986;151;141,5
82;790;150;122,2
83;180;944;149,8
84;533;816;220,6
85;750;789;205,5
86;589;125;166,1
87;640;911;66,5
88;99;216;83,4
89;754;659;214,2
90;828;357;119,1
91;597;587;140,6
92;929;655;118,0
93;159;781;85,8
94;955;6;132,8
95;63;435;196,1
96;130;302;68,7
97;954;687;66,6
98;866;879;98,7
99;131;686;212,2
100;519;220;149,3
101;454;928;67,9
102;415;916;149,1
103;468;833;55,3
104;109;859;71,2
105;806;568;165,4
106;907;703;138,5
107;821;135;50,3
108;622;561;232,4
109;482;689;66,5
